time,open,high,low,close,volume
2018-07-23 04:15:00,2.6999,2.7485,2.6413,2.71,3978.84
2018-07-23 04:30:00,2.71,2.71,2.68,2.6910000000000003,4057.09
2018-07-23 04:45:00,2.6910000000000003,2.6999,2.685,2.685,4034.24
2018-07-23 05:00:00,2.6851,2.8,2.685,2.7259,4085.86
2018-07-23 05:15:00,2.7259,2.7274,2.695,2.7227,4017.03
2018-07-23 05:30:00,2.7228,2.7228,2.7061,2.7212,390.05
2018-07-23 05:45:00,2.7212,2.74,2.705,2.74,3222.24
2018-07-23 06:00:00,2.74,2.7594,2.734,2.7594,3102.93
2018-07-23 06:15:00,2.762,2.7756,2.762,2.7756,1169.09
2018-07-23 06:30:00,2.78,2.7821,2.74,2.74,1725.01
2018-07-23 06:45:00,2.74,2.7499,2.734,2.736,1831.39
2018-07-23 07:00:00,2.736,2.7482,2.736,2.736,2413.39
2018-07-23 07:15:00,2.7421,2.77,2.7401,2.7543,1333.69
2018-07-23 07:30:00,2.74,2.78,2.74,2.7460000000000004,2280.72
2018-07-23 07:45:00,2.7460000000000004,2.78,2.7460000000000004,2.7596,3669.14
2018-07-23 08:00:00,2.7665,2.7799,2.76,2.7798,18400.37
2018-07-23 08:15:00,2.7799,2.78,2.735,2.735,23195.89
2018-07-23 08:30:00,2.735,2.7475,2.6928,2.7216,13123.04
2018-07-23 08:45:00,2.72,2.725,2.6819,2.7099,5275.61
2018-07-23 09:00:00,2.7099,2.7099,2.6396,2.6698,8506.74
2018-07-23 09:15:00,2.6474,2.6698,2.6401,2.6446,5853.57
2018-07-23 09:30:00,2.6445,2.6571,2.6361,2.6513,5423.97
2018-07-23 09:45:00,2.6365,2.66,2.6365,2.6368,8000.63
2018-07-23 10:00:00,2.6513,2.6686,2.6374,2.6468,7449.83
2018-07-23 10:15:00,2.6468,2.6899,2.6468,2.6899,9782.15
2018-07-23 10:30:00,2.68,2.69,2.6701,2.69,9161.75
2018-07-23 10:45:00,2.6702,2.68,2.65,2.6519,8341.23
2018-07-23 11:00:00,2.65,2.6607,2.6361,2.6361,6391.36
2018-07-23 11:15:00,2.6335,2.6361,2.6106,2.6359,8050.78
2018-07-23 11:30:00,2.6145,2.6356,2.6074,2.628,5812.18
2018-07-23 11:45:00,2.628,2.63,2.6016,2.6153,7653.27
2018-07-23 12:00:00,2.6299,2.63,2.6,2.6055,6720.89
2018-07-23 12:15:00,2.6001,2.6055,2.5763,2.5791,5229.87
2018-07-23 12:30:00,2.5791,2.6129,2.5791,2.5935,4345.23
2018-07-23 12:45:00,2.5935,2.63,2.5821,2.63,5044.05
2018-07-23 13:00:00,2.63,2.6326,2.6134,2.6256,8123.91
