time,open,high,low,close,volume
2019-08-24 13:15:00,0.5878,0.8888,0.5878,0.78,526367.64
2019-08-24 13:30:00,0.78,0.78,0.6718,0.706,347549.26
2019-08-24 13:45:00,0.706,0.7094,0.6604,0.6753,215323.16
2019-08-24 14:00:00,0.68,0.7249,0.6709999999999999,0.6832,182877.55
2019-08-24 14:15:00,0.6835,0.6893,0.6709999999999999,0.6806,78160.65
2019-08-24 14:30:00,0.6806,0.6806,0.6158,0.6348,152471.91
2019-08-24 14:45:00,0.6249,0.635,0.6011,0.604,63595.1
2019-08-24 15:00:00,0.61,0.6389,0.6016,0.6279,54897.83
2019-08-24 15:15:00,0.6265,0.635,0.6125,0.6251,63419.93
2019-08-24 15:30:00,0.6251,0.6251,0.5975,0.6125,73031.41
2019-08-24 15:45:00,0.6125,0.619,0.6037,0.6116,33269.04
2019-08-24 16:00:00,0.6154,0.6328,0.6073,0.627,43426.05
2019-08-24 16:15:00,0.6315,0.659,0.6298,0.643,125181.03
2019-08-24 16:30:00,0.6429,0.6544,0.629,0.6292,59460.31
2019-08-24 16:45:00,0.6298,0.6346,0.6167,0.6215,44972.95
2019-08-24 17:00:00,0.6242,0.6242,0.611,0.6238,32015.48
2019-08-24 17:15:00,0.6237,0.6297,0.6116,0.6175,17184.65
2019-08-24 17:30:00,0.6297,0.6297,0.6117,0.613,22077.48
2019-08-24 17:45:00,0.613,0.6197,0.613,0.6144,17986.18
2019-08-24 18:00:00,0.613,0.613,0.5863,0.5912,49419.26
2019-08-24 18:15:00,0.5912,0.6156,0.5832,0.5834,37539.7
2019-08-24 18:30:00,0.5832,0.594,0.5814,0.5919,29339.26
2019-08-24 18:45:00,0.5915,0.594,0.5832,0.5871,14088.91
2019-08-24 19:00:00,0.588,0.5901,0.5832,0.5861,8109.66
2019-08-24 19:15:00,0.5892,0.6087,0.5892,0.5971,20114.2
2019-08-24 19:30:00,0.5946,0.5946,0.5885,0.5907,16714.11
2019-08-24 19:45:00,0.5907,0.5971,0.5886,0.5924,10389.4
2019-08-24 20:00:00,0.5925,0.6029,0.5885,0.5885,27204.64
2019-08-24 20:15:00,0.5885,0.607,0.5833,0.593,17136.74
2019-08-24 20:30:00,0.5913,0.5962,0.5865,0.5866,30159.29
2019-08-24 20:45:00,0.584,0.584,0.5645,0.5708,52486.51
2019-08-24 21:00:00,0.5720000000000001,0.5720000000000001,0.556,0.5578,40981.49
2019-08-24 21:15:00,0.5577,0.565,0.5482,0.5535,41796.19
2019-08-24 21:30:00,0.5535,0.563,0.5515,0.5534,34264.21
2019-08-24 21:45:00,0.5544,0.5544,0.5275,0.5429,60831.38
2019-08-24 22:00:00,0.5374,0.5408,0.5207,0.5256,62788.21
2019-08-24 22:15:00,0.5275,0.53,0.5224,0.53,22603.6
2019-08-24 22:30:00,0.531,0.5379999999999999,0.531,0.5311,24277.88
2019-08-24 22:45:00,0.536,0.5467,0.5293,0.5404,28118.95
2019-08-24 23:00:00,0.5441,0.5525,0.5344,0.5397,25412.57
2019-08-24 23:15:00,0.5429,0.546,0.5346,0.5346,24484.74
2019-08-24 23:30:00,0.5356,0.5417,0.5313,0.5416,27556.65
2019-08-24 23:45:00,0.5389,0.5492,0.5389,0.539,7847.16
2019-08-25 00:00:00,0.539,0.5492,0.5351,0.5436,8196.27
2019-08-25 00:15:00,0.5435,0.5489999999999999,0.5415,0.5415,13512.79
2019-08-25 00:30:00,0.5415,0.5472,0.5397,0.5441,23469.9
2019-08-25 00:45:00,0.5447,0.5472,0.5352,0.5352,27437.58
2019-08-25 01:00:00,0.5399,0.54,0.5047,0.5101,106239.72
2019-08-25 01:15:00,0.5101,0.5194,0.5059,0.5118,29949.68
2019-08-25 01:30:00,0.5104,0.518,0.5017,0.5113,24324.43
2019-08-25 01:45:00,0.5157,0.5157,0.51,0.5107,9186.71
2019-08-25 02:00:00,0.5118,0.518,0.5118,0.5176,15443.33
2019-08-25 02:15:00,0.5176,0.529,0.5171,0.5255,11518.85
2019-08-25 02:30:00,0.521,0.525,0.5157,0.5206,15423.08
2019-08-25 02:45:00,0.52,0.5395,0.5135,0.5285,20594.59
2019-08-25 03:00:00,0.5295,0.5372,0.5268,0.5335,9548.73
2019-08-25 03:15:00,0.5346,0.542,0.53,0.542,13982.4
2019-08-25 03:30:00,0.5396,0.5482,0.5394,0.5482,16300.05
2019-08-25 03:45:00,0.5482,0.55,0.5371,0.5392,26704.49
2019-08-25 04:00:00,0.5389,0.5389,0.5286,0.5305,17510.22
2019-08-25 04:15:00,0.5286,0.5295,0.5197,0.5203,22271.53
2019-08-25 04:30:00,0.5202,0.5299,0.5195,0.5238,24314.07
2019-08-25 04:45:00,0.5235,0.5249,0.5206,0.5231,8145.78
2019-08-25 05:00:00,0.5231,0.5274,0.5206,0.5274,10441.04
2019-08-25 05:15:00,0.5204,0.5275,0.5204,0.5275,13537.43
2019-08-25 05:30:00,0.5274,0.5375,0.5274,0.5375,32346.11
2019-08-25 05:45:00,0.5374,0.5657,0.5374,0.5551,31816.37
2019-08-25 06:00:00,0.5551,0.5660000000000001,0.5508,0.563,22889.99
2019-08-25 06:15:00,0.5634,0.5943,0.56,0.5911,48391.82
2019-08-25 06:30:00,0.5878,0.593,0.57,0.5836,62271.35
2019-08-25 06:45:00,0.5804,0.6466,0.5804,0.6333,127318.14
2019-08-25 07:00:00,0.6333,0.66,0.6298,0.6384,156017.15
2019-08-25 07:15:00,0.6351,0.643,0.6129,0.639,93962.78
2019-08-25 07:30:00,0.6386,0.7389,0.6341,0.6999,323783.87
2019-08-25 07:45:00,0.6979,0.72,0.6804,0.6909,107913.82
2019-08-25 08:00:00,0.691,0.7211,0.6735,0.6748,122227.24
2019-08-25 08:15:00,0.6773,0.6866,0.6598,0.6627,95740.68
2019-08-25 08:30:00,0.6627,0.6979,0.6625,0.6867,96894.78
2019-08-25 08:45:00,0.6920000000000001,0.6920000000000001,0.6626,0.6709999999999999,31498.67
2019-08-25 09:00:00,0.6709999999999999,0.7037,0.6643,0.6943,69030.96
2019-08-25 09:15:00,0.696,0.7029,0.6899,0.6914,67033.78
2019-08-25 09:30:00,0.6914,0.6915,0.669,0.6821,45054.66
2019-08-25 09:45:00,0.6725,0.6996,0.6725,0.6859999999999999,25700.99
2019-08-25 10:00:00,0.6864,0.741,0.6859999999999999,0.7272,174521.04
2019-08-25 10:15:00,0.7276,0.7340000000000001,0.7068,0.7145,105001.29
2019-08-25 10:30:00,0.7145,0.7298,0.7127,0.7183,48643.49
2019-08-25 10:45:00,0.7182,0.7237,0.7123,0.723,55336.54
2019-08-25 11:00:00,0.7205,0.737,0.6992,0.7035,142872.47
2019-08-25 11:15:00,0.7035,0.71,0.6801,0.6812,82613.27
2019-08-25 11:30:00,0.6869,0.7007,0.6659999999999999,0.675,79774.74
2019-08-25 11:45:00,0.675,0.7025,0.6728,0.6886,125301.43
2019-08-25 12:00:00,0.6898,0.6948,0.6744,0.68,39202.66
2019-08-25 12:15:00,0.6827,0.7070000000000001,0.6813,0.7068,55813.12
2019-08-25 12:30:00,0.7021,0.71,0.6908,0.7041,38053.83
2019-08-25 12:45:00,0.7015,0.7045,0.6763,0.6804,71114.07
2019-08-25 13:00:00,0.6804,0.6998,0.6675,0.6949,49340.82
2019-08-25 13:15:00,0.6873,0.693,0.6479,0.6484,120939.51
2019-08-25 13:30:00,0.6484,0.6561,0.6338,0.64,133041.01
2019-08-25 13:45:00,0.6419,0.6419,0.6189,0.6249,81074.01
2019-08-25 14:00:00,0.625,0.6396,0.6249,0.6319,58652.41
2019-08-25 14:15:00,0.6338,0.638,0.625,0.6293,32082.93
2019-08-25 14:30:00,0.6292,0.6375,0.6151,0.616,38060.52
2019-08-25 14:45:00,0.6151,0.6245,0.6139,0.6199,18247.96
2019-08-25 15:00:00,0.6195,0.6207,0.6008,0.6047,65479.61
2019-08-25 15:15:00,0.6017,0.6057,0.5863,0.5933,68912.58
2019-08-25 15:30:00,0.593,0.6163,0.5856,0.6111,29538.33
2019-08-25 15:45:00,0.6106,0.6157,0.5913,0.6004,27483.61
2019-08-25 16:00:00,0.6003,0.6267,0.5979,0.6185,37362.64
2019-08-25 16:15:00,0.6235,0.6235,0.605,0.623,17770.1
2019-08-25 16:30:00,0.608,0.6199,0.6,0.6,20181.07
2019-08-25 16:45:00,0.6051,0.6052,0.5915,0.5966,20081.86
2019-08-25 17:00:00,0.5966,0.6023,0.59,0.5946,23049.93
2019-08-25 17:15:00,0.6,0.6143,0.5923,0.6143,17906.11
2019-08-25 17:30:00,0.6143,0.6231,0.603,0.6065,25262.67
2019-08-25 17:45:00,0.6065,0.62,0.6065,0.6186,12723.79
2019-08-25 18:00:00,0.6186,0.6219,0.6088,0.6219,38834.51
2019-08-25 18:15:00,0.6216,0.6314,0.6146,0.6295,37801.99
2019-08-25 18:30:00,0.6294,0.6698,0.6292,0.6555,168735.02
2019-08-25 18:45:00,0.6555,0.6864,0.647,0.6716,109725.89
2019-08-25 19:00:00,0.6813,0.69,0.66,0.6707,134561.42
2019-08-25 19:15:00,0.6697,0.6697,0.6489,0.662,47839.08
2019-08-25 19:30:00,0.6621,0.6654,0.6359,0.6359,38772.4
2019-08-25 19:45:00,0.6378,0.6651,0.6378,0.6592,33716.63
2019-08-25 20:00:00,0.6589,0.6589,0.6433,0.6585,17859.01
2019-08-25 20:15:00,0.6581,0.665,0.6576,0.665,46720.72
2019-08-25 20:30:00,0.6659999999999999,0.6986,0.6659999999999999,0.6852,85383.18
2019-08-25 20:45:00,0.6852,0.6949,0.6682,0.674,51275.39
2019-08-25 21:00:00,0.6757,0.6761,0.6554,0.6592,44814.0
2019-08-25 21:15:00,0.6567,0.6752,0.6422,0.6609,51576.59
2019-08-25 21:30:00,0.6609,0.6609,0.6266,0.6312,50867.23
2019-08-25 21:45:00,0.6332,0.6424,0.6286,0.6347,30004.21
2019-08-25 22:00:00,0.6341,0.6545,0.6339,0.6545,45435.63
2019-08-25 22:15:00,0.6519,0.6545,0.64,0.6459999999999999,34811.45
2019-08-25 22:30:00,0.6507,0.6526,0.6409,0.6526,21682.57
2019-08-25 22:45:00,0.6544,0.69,0.6527,0.6729999999999999,61769.78
2019-08-25 23:00:00,0.6789,0.6827,0.664,0.6662,53706.43
2019-08-25 23:15:00,0.6671,0.6863,0.6659999999999999,0.6863,21415.25
2019-08-25 23:30:00,0.6864,0.7221,0.6864,0.7152,146334.78
2019-08-25 23:45:00,0.7138,0.725,0.693,0.7049,52640.24
2019-08-26 00:00:00,0.7070000000000001,0.7175,0.6865,0.7054,68883.29
2019-08-26 00:15:00,0.706,0.72,0.6747,0.6883,139352.47
2019-08-26 00:30:00,0.6958,0.7,0.6831,0.6941,43423.98
2019-08-26 00:45:00,0.696,0.7216,0.6929,0.7194,103815.72
2019-08-26 01:00:00,0.7194,0.72,0.6862,0.6940000000000001,51664.98
2019-08-26 01:15:00,0.696,0.71,0.6951,0.7064,27735.81
2019-08-26 01:30:00,0.7026,0.7064,0.6955,0.6972,15353.49
2019-08-26 01:45:00,0.7,0.7275,0.7,0.7216,41013.58
2019-08-26 02:00:00,0.7244,0.7440000000000001,0.7226,0.7440000000000001,77090.78
2019-08-26 02:15:00,0.7442,0.7493,0.7198,0.7318,80185.26
2019-08-26 02:30:00,0.7318,0.7493,0.7318,0.7493,39834.33
2019-08-26 02:45:00,0.7493,0.76,0.74,0.7499,88888.95
2019-08-26 03:00:00,0.75,0.75,0.7223,0.7434,83156.08
2019-08-26 03:15:00,0.7509999999999999,0.7525,0.722,0.7337,43022.13
2019-08-26 03:30:00,0.7337,0.7340000000000001,0.7145,0.7187,49728.4
2019-08-26 03:45:00,0.72,0.73,0.7021,0.7077,113437.77
2019-08-26 04:00:00,0.7084,0.713,0.6963,0.7053,74094.36
2019-08-26 04:15:00,0.7054,0.7054,0.6834,0.6857,68438.85
2019-08-26 04:30:00,0.6838,0.716,0.6801,0.7070000000000001,109413.58
2019-08-26 04:45:00,0.7068,0.7189,0.6955,0.7156,92634.13
2019-08-26 05:00:00,0.7184,0.7184,0.6877,0.6925,39514.34
2019-08-26 05:15:00,0.6924,0.7059,0.6889,0.7051,23683.69
2019-08-26 05:30:00,0.7051,0.7128,0.698,0.7079,20493.39
2019-08-26 05:45:00,0.7078,0.7128,0.7049,0.7126,33149.5
2019-08-26 06:00:00,0.7126,0.7129,0.6859999999999999,0.6891,71640.37
2019-08-26 06:15:00,0.6879,0.6879,0.6518,0.6688,219333.02
2019-08-26 06:30:00,0.6656,0.6731,0.6457,0.6731,129486.52
2019-08-26 06:45:00,0.6733,0.6788,0.6635,0.6635,76195.3
2019-08-26 07:00:00,0.6678,0.6695,0.6508,0.6569,61225.14
2019-08-26 07:15:00,0.6578,0.6591,0.6508,0.6511,19267.8
2019-08-26 07:30:00,0.6554,0.6554,0.6353,0.636,51148.02
2019-08-26 07:45:00,0.6353,0.65,0.6336,0.6447,33853.58
2019-08-26 08:00:00,0.6445,0.6536,0.6445,0.6449,57345.25
2019-08-26 08:15:00,0.6494,0.6579,0.6449,0.6548,32342.47
2019-08-26 08:30:00,0.6548,0.6581,0.6459,0.657,27739.45
2019-08-26 08:45:00,0.6529,0.6529,0.636,0.6419,45801.83
