time,open,high,low,close,volume
2019-03-15 04:15:00,51.61,51.61,51.03,51.03,46.55553
2019-03-15 04:30:00,51.11,51.11,51.11,51.11,3.4963599999999997
2019-03-15 04:45:00,51.38,52.0,51.36,52.0,76.34565
2019-03-15 05:00:00,51.95,52.0,50.98,50.98,153.594
2019-03-15 05:15:00,50.99,51.2,50.99,51.2,2.9131
2019-03-15 05:30:00,51.25,51.26,51.0,51.0,6.44915
2019-03-15 05:45:00,51.21,51.21,50.99,50.99,40.047259999999994
2019-03-15 06:00:00,50.99,50.99,50.99,50.99,8.22
2019-03-15 06:15:00,50.99,51.8,50.91,50.99,185.15528999999998
2019-03-15 06:30:00,50.94,50.94,50.88,50.92,60.505469999999995
2019-03-15 06:45:00,50.89,51.0,50.87,50.87,131.14093
2019-03-15 07:00:00,50.85,50.85,50.85,50.85,0.21600000000000003
2019-03-15 07:15:00,50.85,50.85,50.85,50.85,4.079
2019-03-15 07:30:00,51.01,51.01,51.01,51.01,1.767
2019-03-15 07:45:00,51.01,51.02,50.9,51.02,65.05545
2019-03-15 08:00:00,51.02,51.03,51.02,51.03,7.59665
2019-03-15 08:15:00,51.02,51.02,51.0,51.0,4.7386
2019-03-15 08:30:00,50.99,50.99,50.97,50.97,24.06652
2019-03-15 08:45:00,51.24,51.24,50.9,51.0,10.841
2019-03-15 09:00:00,51.0,51.25,51.0,51.25,52.021
2019-03-15 09:15:00,51.11,51.11,51.08,51.08,21.374000000000002
2019-03-15 09:30:00,51.08,51.09,51.0,51.09,65.62562
2019-03-15 09:45:00,51.25,51.25,51.25,51.25,0.9990000000000001
2019-03-15 10:00:00,51.31,51.31,51.13,51.13,7.3871199999999995
2019-03-15 10:15:00,51.13,51.28,51.13,51.28,3.70192
2019-03-15 10:30:00,51.28,51.63,51.28,51.63,24.0474
2019-03-15 10:45:00,51.35,51.35,51.34,51.34,24.36266
2019-03-15 11:00:00,51.33,51.44,51.33,51.44,1.5730000000000002
2019-03-15 11:15:00,51.58,51.58,51.33,51.33,0.92627
2019-03-15 11:30:00,51.53,51.55,51.52,51.55,113.36561999999999
