time,open,high,low,close,volume
2019-03-21 04:15:00,57.28,57.99,57.2,57.42,97.46465
2019-03-21 04:30:00,57.2,57.2,57.2,57.2,5.992000000000001
2019-03-21 04:45:00,57.56,57.56,57.2,57.2,43.12151
2019-03-21 05:00:00,57.2,57.2,56.8,56.8,212.46891000000002
2019-03-21 05:15:00,56.82,57.13,56.5,56.5,19.242910000000002
2019-03-21 05:30:00,56.75,56.76,56.4,56.76,2.78836
2019-03-21 05:45:00,56.5,56.88,56.3,56.39,46.315220000000004
2019-03-21 06:00:00,56.79,56.8,56.4,56.45,281.9549
2019-03-21 06:15:00,56.45,56.55,56.34,56.55,39.23434
2019-03-21 06:30:00,56.46,56.46,56.38,56.38,44.0121
2019-03-21 06:45:00,56.38,56.72,56.38,56.4,8.65174
2019-03-21 07:00:00,56.67,56.98,56.6,56.98,54.662290000000006
2019-03-21 07:15:00,57.27,58.0,56.98,58.0,554.29939
2019-03-21 07:30:00,58.0,58.0,57.08,57.5,155.47073999999998
2019-03-21 07:45:00,57.76,57.78,57.6,57.64,79.09518
2019-03-21 08:00:00,57.94,58.16,57.81,57.89,40.432790000000004
2019-03-21 08:15:00,58.0,58.11,58.0,58.0,130.48386000000002
2019-03-21 08:30:00,57.9,58.22,57.89,58.13,29.27968
2019-03-21 08:45:00,58.22,59.1,57.58,57.8,123.54483
2019-03-21 09:00:00,57.8,57.8,57.5,57.56,115.19823999999998
2019-03-21 09:15:00,57.56,57.56,57.32,57.4,102.09129
2019-03-21 09:30:00,57.47,57.5,57.36,57.41,49.481
2019-03-21 09:45:00,57.41,57.48,57.14,57.2,26.571790000000004
2019-03-21 10:00:00,57.36,58.23,57.35,57.94,148.96005
2019-03-21 10:15:00,58.09,58.89,58.0,58.37,382.31021
2019-03-21 10:30:00,58.14,58.14,57.86,57.86,8.36068
2019-03-21 10:45:00,57.69,57.69,57.69,57.69,4.33708
2019-03-21 11:00:00,57.6,57.6,57.35,57.35,16.22043
2019-03-21 11:15:00,57.91,58.0,57.91,58.0,6.18433
2019-03-21 11:30:00,58.15,58.15,57.71,57.96,169.93688999999998
2019-03-21 11:45:00,57.74,57.74,57.4,57.57,209.61525
2019-03-21 12:00:00,57.6,57.6,57.34,57.44,21.127679999999998
2019-03-21 12:15:00,57.92,58.26,57.61,58.26,169.72008
2019-03-21 12:30:00,58.42,58.42,57.7,57.99,97.88128
2019-03-21 12:45:00,57.85,57.88,57.52,57.61,48.57747
2019-03-21 13:00:00,57.61,58.0,57.45,57.69,152.80243000000002
2019-03-21 13:15:00,57.83,57.83,56.4,56.41,206.77036
2019-03-21 13:30:00,56.4,56.8,55.76,55.9,230.88925
2019-03-21 13:45:00,55.64,56.36,55.56,55.99,594.51311
2019-03-21 14:00:00,56.0,56.2,56.0,56.2,24.263579999999997
2019-03-21 14:15:00,55.81,55.83,55.41,55.66,299.02616
2019-03-21 14:30:00,55.91,56.09,54.25,54.87,285.1536
2019-03-21 14:45:00,54.89,55.15,53.31,53.38,448.89952
2019-03-21 15:00:00,53.35,55.61,53.35,54.26,363.82662
2019-03-21 15:15:00,54.18,55.87,54.18,55.38,167.14472
2019-03-21 15:30:00,55.59,55.59,54.82,54.82,68.02304000000001
2019-03-21 15:45:00,54.97,56.04,54.97,55.93,147.34366
2019-03-21 16:00:00,55.5,55.5,55.01,55.35,9.38067
2019-03-21 16:15:00,56.05,56.56,54.66,55.59,57.944219999999994
2019-03-21 16:30:00,55.59,55.59,55.05,55.05,15.866539999999999
2019-03-21 16:45:00,55.06,55.06,54.93,55.06,14.0607
2019-03-21 17:00:00,55.06,55.07,55.06,55.07,8.97692
2019-03-21 17:15:00,55.07,55.07,55.07,55.07,0.0
2019-03-21 17:45:00,55.48,55.48,55.48,55.48,4.3267
2019-03-21 18:00:00,55.44,55.44,55.13,55.16,30.55647
2019-03-21 18:15:00,55.35,55.35,54.94,54.94,98.8524
2019-03-21 18:30:00,55.16,55.16,54.82,54.92,35.937909999999995
2019-03-21 18:45:00,55.13,55.13,54.89,55.12,38.36164
2019-03-21 19:00:00,54.96,55.13,54.96,55.13,5.98496
2019-03-21 19:15:00,55.13,55.13,55.13,55.13,76.66351999999999
2019-03-21 19:30:00,55.13,55.43,55.13,55.13,154.4664
2019-03-21 19:45:00,55.14,55.14,55.14,55.14,1.25
2019-03-21 20:00:00,54.98,54.98,54.98,54.98,0.52836
2019-03-21 20:15:00,54.98,54.98,54.98,54.98,2.79731
2019-03-21 20:30:00,55.13,55.13,55.13,55.13,2.85093
2019-03-21 20:45:00,55.13,55.14,55.13,55.14,0.50074
2019-03-21 21:00:00,55.28,55.28,55.28,55.28,5.262580000000001
2019-03-21 21:15:00,55.28,55.43,55.21,55.21,26.12588
2019-03-21 21:30:00,55.2,55.34,55.0,55.22,12.2764
2019-03-21 21:45:00,55.22,55.26,55.1,55.26,12.55517
2019-03-21 22:00:00,55.03,55.26,55.03,55.03,13.5531
2019-03-21 22:15:00,55.13,55.35,55.13,55.35,11.09775
2019-03-21 22:30:00,55.54,55.54,55.4,55.4,33.41357
2019-03-21 22:45:00,55.4,55.76,55.18,55.18,191.97535
2019-03-21 23:00:00,55.18,55.2,55.03,55.06,59.33044
2019-03-21 23:15:00,55.06,55.06,55.03,55.03,23.08795
2019-03-21 23:30:00,55.03,55.03,55.03,55.03,0.0
2019-03-21 23:45:00,55.14,55.14,55.14,55.14,0.28031
2019-03-22 00:00:00,55.37,55.37,55.37,55.37,0.65612
2019-03-22 00:15:00,55.37,55.52,55.23,55.23,36.498329999999996
2019-03-22 00:30:00,55.24,55.3,55.22,55.3,18.39552
2019-03-22 00:45:00,55.3,55.3,55.09,55.12,46.38255
2019-03-22 01:00:00,55.48,55.76,55.28,55.76,25.6253
2019-03-22 01:15:00,55.41,55.6,55.41,55.6,12.27798
2019-03-22 01:30:00,55.6,55.6,55.37,55.37,21.71367
2019-03-22 01:45:00,55.57,55.58,55.57,55.58,26.4445
2019-03-22 02:00:00,55.4,55.4,55.4,55.4,0.84
2019-03-22 02:15:00,55.4,55.4,55.32,55.32,13.46875
2019-03-22 02:30:00,55.61,55.61,55.61,55.61,0.2051
2019-03-22 02:45:00,55.61,55.61,55.36,55.36,1.53141
2019-03-22 03:00:00,55.35,55.47,55.3,55.3,40.51575
2019-03-22 03:15:00,55.46,55.47,55.32,55.32,67.47411
2019-03-22 03:30:00,55.25,55.25,55.04,55.04,1.47692
2019-03-22 03:45:00,55.32,55.32,54.85,54.85,68.3347
2019-03-22 04:00:00,54.85,54.85,54.74,54.74,165.60436
2019-03-22 04:15:00,54.74,55.35,54.65,54.65,171.93073
2019-03-22 04:30:00,55.05,55.4,55.05,55.29,354.23422
2019-03-22 04:45:00,55.29,55.29,54.84,54.84,6.29162
2019-03-22 05:00:00,55.0,55.04,55.0,55.04,14.044579999999998
2019-03-22 05:15:00,54.86,54.91,54.86,54.91,0.84259
2019-03-22 05:30:00,55.12,55.14,55.12,55.14,4.88143
2019-03-22 05:45:00,55.11,55.11,55.11,55.11,8.3987
2019-03-22 06:00:00,55.26,55.26,55.0,55.0,31.10918
2019-03-22 06:15:00,55.04,55.04,55.04,55.04,7.05058
2019-03-22 06:30:00,54.9,55.01,54.9,54.91,2.10491
2019-03-22 06:45:00,54.91,54.91,54.91,54.91,0.0
2019-03-22 07:00:00,54.91,55.09,54.65,54.99,83.93207
2019-03-22 07:15:00,54.75,54.75,54.74,54.74,0.98921
2019-03-22 07:30:00,54.61,54.61,54.42,54.56,76.43639
2019-03-22 07:45:00,54.7,54.7,54.7,54.7,2.7354700000000003
2019-03-22 08:00:00,54.7,54.94,54.64,54.64,98.8299
2019-03-22 08:15:00,54.94,55.94,54.94,55.94,39.586220000000004
2019-03-22 08:30:00,56.44,56.44,54.54,55.31,849.9785699999999
2019-03-22 08:45:00,55.38,55.7,55.37,55.45,149.25215
2019-03-22 09:00:00,55.35,55.55,55.35,55.51,23.35001
2019-03-22 09:15:00,55.42,55.94,55.07,55.07,166.99388000000002
2019-03-22 09:30:00,55.5,55.5,55.27,55.27,9.515
2019-03-22 09:45:00,55.0,55.11,54.81,54.93,24.88683
2019-03-22 10:00:00,55.06,55.51,55.06,55.36,3.3092900000000003
2019-03-22 10:15:00,55.59,55.59,55.57,55.57,7.56685
2019-03-22 10:30:00,55.47,55.47,55.03,55.15,170.61131
2019-03-22 10:45:00,55.24,55.24,55.24,55.24,20.7212
2019-03-22 11:00:00,55.1,55.1,55.02,55.1,55.87367
2019-03-22 11:15:00,55.1,55.1,54.93,54.93,6.30071
